page,2013-04 pi,2013-04 pv,2013-05 pi,2013-05 pv,2013-06 pi,2013-06 pv,2013-07 pi,2013-07 pv,2013-08 pi,2013-08 pv,2013-09 pi,2013-09 pv,2013-10 pi,2013-10 pv,2013-11 pi,2013-11 pv,2013-12 pi,2013-12 pv,2014-01 pi,2014-01 pv,2014-02 pi,2014-02 pv,2014-03 pi,2014-03 pv,2014-04 pi,2014-04 pv,2014-05 pi,2014-05 pv,2014-06 pi,2014-06 pv,2014-07 pi,2014-07 pv,2014-08 pi,2014-08 pv,2014-09 pi,2014-09 pv,2014-10 pi,2014-10 pv,2014-11 pi,2014-11 pv,2014-12 pi,2014-12 pv,2015-01 pi,2015-01 pv,2015-02 pi,2015-02 pv,2015-03 pi,2015-03 pv,2015-04 pi,2015-04 pv,2015-05 pi,2015-05 pv,2015-06 pi,2015-06 pv,2015-07 pi,2015-07 pv,2015-08 pi,2015-08 pv,2015-09 pi,2015-09 pv,2015-10 pi,2015-10 pv,2015-11 pi,2015-11 pv,2015-12 pi,2015-12 pv,2016-01 pi,2016-01 pv,2016-02 pi,2016-02 pv,2016-03 pi,2016-03 pv,2016-04 pi,2016-04 pv,2016-05 pi,2016-05 pv,2016-06 pi,2016-06 pv,2016-07 pi,2016-07 pv,2016-08 pi,2016-08 pv,2016-09 pi,2016-09 pv,2016-10 pi,2016-10 pv,2016-11 pi,2016-11 pv,2016-12 pi,2016-12 pv,2017-01 pi,2017-01 pv,2017-02 pi,2017-02 pv,2017-03 pi,2017-03 pv,2017-04 pi,2017-04 pv,2017-05 pi,2017-05 pv,2017-06 pi,2017-06 pv,2017-07 pi,2017-07 pv,2017-08 pi,2017-08 pv,2017-09 pi,2017-09 pv,2017-10 pi,2017-10 pv,2017-11 pi,2017-11 pv,2017-12 pi,2017-12 pv,2018-01 pi,2018-01 pv,2018-02 pi,2018-02 pv,2018-03 pi,2018-03 pv,2018-04 pi,2018-04 pv,2018-05 pi,2018-05 pv,2018-06 pi,2018-06 pv,2018-07 pi,2018-07 pv,2018-08 pi,2018-08 pv,2018-09 pi,2018-09 pv,2018-10 pi,2018-10 pv,2018-11 pi,2018-11 pv,2018-12 pi,2018-12 pv,original names
%3Cfront%3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%3Cfront%3E""]"
%C3%A4rzte-im-bezirk-lichtenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,25,15,12,7,6,3,2,7,5,3,3,1,1,0,0,3,3,1,1,0,0,0,0,0,0,4,4,4,1,2,2,8,4,2,2,1,1,3,3,2,2,1,1,0,0,4,3,4,3,3,2,3,3,3,3,4,2,1,1,4,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%A4rzte-im-bezirk-lichtenberg""]"
%C3%B6ffentl-u-sonst-dienstleister-erzieh-gesundheit-private-haushalte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,23,21,10,10,2,2,4,3,0,0,5,4,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,1,1,"[""%C3%B6ffentl-u-sonst-dienstleister-erzieh-gesundheit-private-haushalte""]"
%C3%B6ffentliche-beleuchtung-wfs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,17,12,2,2,9,5,4,4,1,1,5,5,9,7,1,1,6,6,1,1,3,2,3,3,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%B6ffentliche-beleuchtung-wfs""]"
%C3%B6ffentliche-beleuchtung-wmf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%B6ffentliche-beleuchtung-wmf""]"
%C3%B6ffentliche-beleuchtung-wms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,1,1,14,11,5,5,6,6,8,6,1,1,5,5,2,2,2,2,5,5,5,5,5,4,4,3,0,0,8,8,10,9,6,6,0,0,4,4,3,3,3,3,6,6,10,10,3,3,3,3,"[""%C3%B6ffentliche-beleuchtung-wms"", ""%C3%B6ffentliche-beleuchtung-wms-0"", ""%C3%B6ffentliche-beleuchtung-wms-2""]"
%C3%B6ffentliche-toiletten-im-bezirk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,57,91,76,12,10,3,3,21,19,38,33,12,10,13,9,9,8,12,10,4,4,3,3,8,6,1,1,0,0,0,0,0,0,6,6,1,1,5,5,4,4,5,4,4,4,2,2,1,1,4,3,0,0,0,0,0,0,4,2,3,3,1,1,3,2,3,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1,"[""%C3%B6ffentliche-toiletten-im-bezirk""]"
%C3%B6ffentliche-toiletten-im-bezirk-lichtenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,4,4,2,2,5,4,6,6,6,5,"[""%C3%B6ffentliche-toiletten-im-bezirk-lichtenberg""]"
%C3%B6pnv-bahnh%C3%B6festationen,62,56,32,26,35,32,35,34,30,28,16,14,35,32,15,14,11,9,26,22,30,25,27,22,49,36,33,26,37,31,16,16,39,31,13,12,19,18,27,24,20,17,24,20,11,10,21,20,19,17,40,28,30,18,30,19,48,31,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"[""%C3%B6pnv-bahnh%C3%B6festationen""]"
%C3%BCberblick-kulturetat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,33,29,15,13,13,12,9,9,5,5,6,6,17,14,22,16,9,8,9,8,20,17,21,15,15,14,18,12,8,6,12,12,8,7,16,15,16,16,7,7,9,8,9,8,9,7,6,6,8,8,9,9,5,5,"[""%C3%BCberblick-kulturetat""]"
%C3%BCbergeordnetes-stra%C3%9Fennetz-bestand-wms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,9,7,6,5,4,4,13,12,10,9,7,6,2,2,14,8,1,1,9,7,3,3,4,3,1,1,7,7,7,7,16,11,8,8,"[""%C3%BCbergeordnetes-stra%C3%9Fennetz-bestand-wms"", ""%C3%BCbergeordnetes-stra%C3%9Fennetz-bestand-wms-0""]"
%C3%BCbersicht-%C3%BCber-m%C3%B6gliche-tarifentgelte-%E2%80%93-ausgew%C3%A4hlte-berufe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,22,19,10,9,10,9,20,17,2,2,"[""%C3%BCbersicht-%C3%BCber-m%C3%B6gliche-tarifentgelte-%E2%80%93-ausgew%C3%A4hlte-berufe""]"
%C3%BCbersicht-%C3%BCber-m%C3%B6gliche-tarifentgelte-auswahl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,26,19,19,16,18,15,11,7,16,13,18,10,6,5,6,4,2,2,4,4,4,3,5,5,2,2,2,2,0,0,4,4,2,2,8,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%BCbersicht-%C3%BCber-m%C3%B6gliche-tarifentgelte-auswahl""]"
%C3%BCbersicht-%C3%BCber-m%C3%B6gliche-tarifentgelte-auswahl.rdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%BCbersicht-%C3%BCber-m%C3%B6gliche-tarifentgelte-auswahl.rdf""]"
%C3%BCbersicht-%C3%BCber-wirtschaftsbereiche-branchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,64,42,34,25,20,6,6,9,8,15,15,19,16,17,14,16,14,18,17,12,10,11,9,11,10,9,7,14,11,22,18,8,7,13,11,11,7,7,6,14,10,15,15,14,13,4,4,8,8,6,6,14,11,11,10,7,6,"[""%C3%BCbersicht-%C3%BCber-wirtschaftsbereiche-branchen""]"
%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-10-farbig-atom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,1,4,4,1,1,0,0,0,0,0,0,2,1,8,6,2,2,8,7,4,4,3,3,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-10-farbig-atom""]"
%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-10-farbig-wms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,1,1,3,3,2,2,0,0,0,0,0,0,2,2,3,3,7,6,3,3,5,5,6,6,0,0,0,0,0,0,2,2,5,5,1,1,5,5,6,6,5,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-10-farbig-wms"", ""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-10-farbig-wms-0""]"
%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-4-farbig-atom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-4-farbig-atom""]"
%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-4-farbig-wms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,0,0,0,0,1,1,2,2,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-4-farbig-wms"", ""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-4-farbig-wms-0""]"
%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-sw-kombi-atom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,4,4,2,2,1,1,0,0,2,2,4,3,8,8,5,5,2,2,2,2,2,2,2,2,2,2,3,3,5,5,2,2,1,1,9,8,1,1,2,2,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-sw-kombi-atom""]"
%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-sw-kombi-wms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"[""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-sw-kombi-wms"", ""%C3%BCbersichtskarte-von-berlin-1-50-000-%C3%BCk50-sw-kombi-wms-0""]"
%EF%BB%BFhttp%3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""%EF%BB%BFhttp%3A""]"
0ff7df3b-3e9a-4bcc-862c-2c2d4e2be220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""0ff7df3b-3e9a-4bcc-862c-2c2d4e2be220""]"
10-mbit-breitbandversorgung-%C3%BCber-alle-technologien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"[""10-mbit-breitbandversorgung-%C3%BCber-alle-technologien""]"
100-mbit-breitbandversorgung-%C3%BCber-alle-technologien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,52,42,33,27,19,15,41,32,31,27,24,16,8,2,2,2,2,2,0,0,0,0,0,0,"[""100-mbit-breitbandversorgung-%C3%BCber-alle-technologien""]"
14-radrouten-und-radverkehrsanlagen-gps-tracks-f%25C3%25BCr-die-radrouten-durch-berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""14-radrouten-und-radverkehrsanlagen-gps-tracks-f%25C3%25BCr-die-radrouten-durch-berlin""]"
14-radrouten-und-radverkehrsanlagen-gps-tracks-f%C3%83%C2%BCr-die-radrouten-durch-berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""14-radrouten-und-radverkehrsanlagen-gps-tracks-f%C3%83%C2%BCr-die-radrouten-durch-berlin""]"
14-radrouten-und-radverkehrsanlagen-gps-tracks-f%C3%BCr-die-radrouten-durch-berlin,79,74,113,101,114,102,90,83,96,91,49,44,37,35,24,21,19,19,45,36,37,34,59,47,99,71,82,71,63,53,84,77,133,121,66,59,67,42,27,24,20,19,30,29,35,34,31,27,38,37,70,63,67,51,72,60,45,37,59,47,36,30,25,20,24,22,40,26,53,35,40,37,59,51,98,79,93,78,65,58,76,59,56,44,33,30,12,12,5,5,41,36,20,20,36,34,33,31,39,35,37,36,51,50,57,52,41,36,23,21,18,17,7,3,30,26,23,23,24,19,39,34,58,54,33,30,30,25,30,28,20,16,38,36,6,6,23,18,"[""14-radrouten-und-radverkehrsanlagen-gps-tracks-f%C3%BCr-die-radrouten-durch-berlin""]"
2-mbit-breitbandversorgung-%C3%BCber-alle-technologien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,25,1,1,4,4,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"[""2-mbit-breitbandversorgung-%C3%BCber-alle-technologien""]"
20-gr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""20-gr""]"
20-gr%C3%83%C2%BCne-hauptwege-koordinaten-f%C3%83%C2%BCr-spazier-und-wanderstrecken-mit-einer-gesamtl%C3%83%C2%A4nge-von,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,2,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""20-gr%C3%83%C2%BCne-hauptwege-koordinaten-f%C3%83%C2%BCr-spazier-und-wanderstrecken-mit-einer-gesamtl%C3%83%C2%A4nge-von""]"
20-gr%C3%BCne-hauptwege-koordinaten-f%C3%BCr-spazier-und-wanderstrecken-mit-einer-gesamtl%C3%A4nge-von,42,38,60,55,60,54,41,34,32,28,29,27,33,28,36,25,16,14,34,27,30,25,24,21,26,24,25,22,33,29,43,35,45,25,18,17,29,27,17,16,10,8,24,22,20,19,17,15,29,25,19,17,21,17,16,13,18,16,21,20,14,10,49,47,9,9,18,14,26,14,11,9,10,10,20,19,6,6,9,7,4,4,5,4,15,15,3,3,6,2,13,11,12,11,19,19,13,13,8,4,6,6,4,4,6,6,8,5,12,10,4,4,5,3,5,5,3,2,2,2,9,7,14,11,3,3,27,24,25,21,6,6,11,9,4,4,6,6,"[""20-gr%C3%BCne-hauptwege-koordinaten-f%C3%BCr-spazier-und-wanderstrecken-mit-einer-gesamtl%C3%A4nge-von""]"
20-grÃ¼ne-hauptwege-koordinaten-fÃ¼r-spazier-und-wanderstrecken-mit-einer-gesamtlÃ¤nge-von,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""20-grÃ¼ne-hauptwege-koordinaten-fÃ¼r-spazier-und-wanderstrecken-mit-einer-gesamtlÃ¤nge-von""]"
3-eur-ticket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,50,46,7,6,3,3,9,8,4,4,5,5,3,3,3,3,3,3,3,3,9,9,3,3,0,0,0,0,0,0,1,1,4,4,6,5,5,5,9,7,4,4,2,2,2,2,4,4,9,9,4,3,5,5,"[""3-eur-ticket""]"
30-mbit-breitbandversorgung-%C3%BCber-alle-technologien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,12,10,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""30-mbit-breitbandversorgung-%C3%BCber-alle-technologien""]"
